Name,Technology,rating, Plays
Brutal - Strike,WebGL,84%,"66,572 plays"
TrollFace Quest: Horror 3,HTML5,77%,"269,320 plays"
Emoji Game,HTML5,82%,"720,632 plays"
Tiles of Egypt,HTML5,93%,"3,838 plays"
Brawl Stars Jigsaw,HTML5,82%,"3,562 plays"
Fairy Town,Flash,90%,"1,273,120 plays"
Mini Train,Flash,84%,"1,213,126 plays"
Stick War,Flash,90%,"18,807,868 plays"
Fireboy And Watergirl Light Temple,HTML5,87%,"79,588,877 plays"
Camp Kissing,Flash,87%,"565,103 plays"
Swords and Sandals 4,Flash,86%,"8,208,907 plays"
Bad Ice Cream,Flash,80%,"53,620,813 plays"
Photo Word Connect,HTML5,83%,"1,255 plays"
Water Ragdoll 2,Flash,83%,"19,442,978 plays"
Plazma Burst 2,Flash,90%,"17,786,033 plays"
Ultimate Assassin 3,Flash,83%,"51,422 plays"
Superfighters,Flash,91%,"64,622,718 plays"
Combat Tournament Legends,Flash,88%,"11,444,726 plays"
Football Legends 2016,HTML5,87%,"64,622,090 plays"
Dead Zed,HTML5,86%,"3,455,774 plays"
Jacksmith,Flash,80%,"13,222,766 plays"
Baby Beauty Salon,HTML5,86%,"2,498 plays"
Vex,Flash,80%,"9,650,122 plays"
My Car Jigsaw,HTML5,89%,"1,207 plays"
Mitoza,Flash,81%,"7,034,468 plays"
Papa’s Bakeria,Flash,93%,"13,882,747 plays"
Parking Fury,HTML5,77%,"4,519,808 plays"
Fireboy and Watergirl Forest Temple,HTML5,79%,"63,033,735 plays"
Police Patrol,WebGL,71%,"1,104,669 plays"
Battle for the Galaxy,WebGL,93%,"884,652 plays"
Rooftop Snipers,WebGL,81%,"9,518,489 plays"
Laberintos Extremos 3,Flash,93%,"3,632 plays"
İmposter Rush,HTML5,71%,"3,078 plays"
Gunblood Remastered,HTML5,83%,"328,654 plays"
Cliff Diving,HTML5,75%,"2,832,019 plays"
Bartender The Wedding,HTML5,80%,"8,217,161 plays"
Tomb Runner,HTML5,84%,"46,020,225 plays"
Motorbike Simulator,WebGL,83%,"1,371,705 plays"
Gladiator Simulator,WebGL,81%,"501,928 plays"
Princess Ski Time,HTML5,89%,"27,056 plays"
Traffic Bike Racing,WebGL,76%,"3,832,095 plays"
Princesses Trendy Social Networks,HTML5,83%,"1,432 plays"
Turbo Drift,WebGL,73%,"331,958 plays"
Happy Crayons,HTML5,80%,"3,710,296 plays"
Grand Action,WebGL,87%,"895,358 plays"
Love Tester,HTML5,72%,"1,389,795 plays"
Ball Fall 3D,WebGL,78%,"24,862,051 plays"
Gunblood,HTML5,82%,"42,796,509 plays"
Knife Hit,HTML5,72%,"7,807,149 plays"
Fuits Kive Up,WebGL,83%,"2,791 plays"
Good Guys vs Bad Guys,WebGL,87%,"178,841 plays"
Basketball Swooshes,HTML5,72%,"165,311 plays"
Fruit Shooting Deluxe,HTML5,84%,"1,225 plays"
Extreme Asphalt Car Racing,WebGL,79%,"515,737 plays"
Supra Drift 3D,WebGL,81%,"2,203,435 plays"
Ragdoll Duel,HTML5,63%,"321,669 plays"
Skydom,HTML5,94%,"65,311 plays"
Short Life 2,WebGL,76%,"1,936,251 plays"
Noughts and Crosses,HTML5,71%,"38,923,970 plays"
Tic Tac Toe Mania,HTML5,61%,"457,306 plays"
Stack Colors!,HTML5,74%,"4,342,443 plays"
Troll Face Quest: Video Memes and Tv Shows: Part 2,HTML5,71%,"65,695 plays"
Voxiom io,WebGL,83%,"951,811 plays"
Icing on the Cake Online,HTML5,71%,"1,792,179 plays"
Make a Cake,HTML5,81%,"145,538 plays"
Drive Space,WebGL,80%,"116,901 plays"
Tower of Colors Island Edition,HTML5,96%,"5,001 plays"
C-o-llect,WebGL,80%,"1,582 plays"
Temple Run 2,HTML5,79%,"1,543,342 plays"
Woodturning Art,WebGL,69%,"508,647 plays"
